,Number,lambda,Rcos_fai,Rsin_fai,month,day,alpha,delta,SG,SG_d,jd,X,Y,Z,Lambda,Miu,Niu,P,Q
30,327,117.575,0.76278,0.6447,12,2.81219,10.89728333,19.566667000000002,-34197260.57764349,71.41425981878614,-395.49784707754577,0.34341213351108185,0.8479405713728474,0.3676625151194116,0.9252614491943381,0.17813177337266795,0.33490345168406654,-0.22517404269077124,0.21848584835485002
31,327,117.575,0.76278,0.6447,12,2.81639,10.89747778,19.566667000000002,-34197259.94591861,71.41689200578257,-395.4978397858791,0.34341201415450323,0.8479406095231458,0.3676625322995249,0.925260844646692,0.17813491351722213,0.33490345168406654,-0.2251738762902794,0.218484703557694
32,327,117.575,0.76278,0.6447,12,2.89715,10.90121667,19.579082999999997,-34197247.79875162,71.46750520157318,-395.49769957754626,0.3434097191100893,0.8479413430982778,0.3676628626473876,0.9251779325994196,0.17818156286981943,0.33510763000017213,-0.2250743500676876,0.2186408703891234
33,327,117.575,0.76278,0.6447,12,2.90591,10.90161944,19.566667000000002,-34197246.481153995,71.47299519168834,-395.4976843692128,0.3434094701690566,0.847941422668767,0.36766289847993466,0.9252479656396352,0.17820179609031636,0.33490345168406654,-0.22517033195911773,0.21846032041277202
34,327,117.575,0.76278,0.6447,12,2.91478,10.90203333,19.566667000000002,-34197245.147011206,71.47855411997685,-395.4976689699072,0.3434092181023301,0.8479415032384143,0.36766293476240675,0.9252466783314742,0.17820847983940494,0.33490345168406654,-0.2251699766519216,0.21845788356341825
35,327,117.575,0.76278,0.6447,12,4.79603,10.99200556,19.767028,-34023989.89754455,73.37542689771702,-393.4978751331016,0.310407806395305,0.8582848917507893,0.37214773121946904,0.9238103839482125,0.17943678276026775,0.33819641556660635,-0.2388151309765286,0.22349188232353528
36,327,117.575,0.76278,0.6447,12,4.79988,10.99218889,19.766667,-34023989.31846342,73.37783973574018,-393.497868449074,0.31040769569330945,0.8582849232286243,0.3721477454479665,0.9238119015381205,0.17944014498389724,0.33819048618297914,-0.23881758685395185,0.22348555007159576
37,327,117.575,0.76278,0.6447,12,4.8038,10.992375,19.766667,-34023988.728853464,73.38029644389947,-393.49786164351775,0.3104075829785877,0.8582849552787871,0.3721477599351607,0.9238113186699773,0.1794431457385814,0.33819048618297914,-0.23881742144336693,0.22348444158693787
38,327,117.575,0.76278,0.6447,12,4.889390000000001,10.9964,19.776806,-34023975.85520291,73.43393665452798,-393.4977130497689,0.31040512195846537,0.8582856550676389,0.372148076249858,0.9237399491264706,0.17949662433958546,0.3383570129885285,-0.2387402951403515,0.22360764709826858
39,327,117.575,0.76278,0.6447,12,4.89332,10.99658056,19.766667,-34023975.26408885,73.43639962980524,-393.4977062268514,0.31040500895744677,0.8582856871995435,0.3721480907738878,0.9237981448985721,0.17951095380860968,0.33819048618297914,-0.238813694991512,0.22345939510503232
40,327,117.575,0.76278,0.6447,12,4.89734,10.99676389,19.766667,-34023974.65943796,73.43891900849218,-393.4976992476856,0.3104048933687027,0.8582857200672847,0.37214810563051987,0.9237975705104691,0.17951390969580927,0.33819048618297914,-0.2388135340496103,0.22345830352583973
