,Alpha,Delta,deltaT,vx,vy,vz,x,y,z
40,-0.23598197517267858,0.4630724757480263,4000.0,6479835.172217802,4207071.934116018,234492.5804971875,6479835.172217802,4207071.934116018,234492.5804971875
41,-0.1984864294658655,0.5001238866472657,4100.0,6188986.022490951,4597351.498863335,761655.3541041043,6188986.022490951,4597351.498863335,761655.3541041043
42,-0.16103787316373294,0.5370466456688789,4200.0,5845198.834885401,4948313.202590751,1282308.8034793688,5845198.834885401,4948313.202590751,1282308.8034793688
43,-0.12367572626053021,0.5739867274609494,4300.0,5451757.415484101,5257245.874256683,1792075.0204449487,5451757.415484101,5257245.874256683,1792075.0204449487
44,-0.08643947101347318,0.6110935589520552,4400.0,5012318.354250203,5521828.625004527,2286727.232066814,5012318.354250203,5521828.625004527,2286727.232066814
45,-0.04936958415585384,0.6485224712440443,4500.0,4530870.807345738,5740139.501822575,2762220.62355082,4530870.807345738,5740139.501822575,2762220.62355082
46,-0.012508593034160808,0.6864375070169564,4600.0,4011695.3515850473,5910660.479562826,3214720.2871836303,4011695.3515850473,5910660.479562826,3214720.2871836303
47,0.02409762040396738,0.7250146421468049,4700.0,3459323.183158878,6032278.763959579,3640625.551094814,3459323.183158878,6032278.763959579,3640625.551094814
48,0.06039825084906177,0.7644456479366573,4800.0,2878495.1957483566,6104285.19495896,4036591.6841000794,2878495.1957483566,6104285.19495896,4036591.6841000794
49,0.09633557062115096,0.8049427566039566,4900.0,2274121.8294174154,6126369.813410653,4399548.530084958,2274121.8294174154,6126369.813410653,4399548.530084958
50,0.13184234373146805,0.8467444239594131,5000.0,1651243.7486896412,6098615.0280357,4726716.444493925,1651243.7486896412,6098615.0280357,4726716.444493925
51,0.16683839954825805,0.890122563988121,5100.0,1014993.5637774565,6021486.679955856,5015619.687704867,1014993.5637774565,6021486.679955856,5015619.687704867
52,0.2012259935319745,0.9353917719705915,5200.0,370558.71743444167,5895823.288305134,5264097.469133029,370558.71743444167,5895823.288305134,5264097.469133029
53,0.23488339212257442,0.9829212506591154,5300.0,-276854.3945954861,5722823.7270880025,5470312.835817843,-276854.3945954861,5722823.7270880025,5470312.835817843
54,0.2676558150135085,1.033150434925612,5400.0,-922055.0475812713,5504033.547361698,5632759.591818224,-922055.0475812713,5504033.547361698,5632759.591818224
55,0.29934237408794956,1.086609707478606,5500.0,-1559901.5716996896,5241330.121434012,5750267.421216404,-1559901.5716996896,5241330.121434012,5750267.421216404
56,0.32967683001439796,1.1439481522509942,5600.0,-2185333.5400961232,4936906.748293422,5822005.369074911,-2185333.5400961232,4936906.748293422,5822005.369074911
57,0.3582986066416422,1.205971040203623,5700.0,-2793402.8259097515,4593255.822932396,5847483.81238013,-2793402.8259097515,4593255.822932396,5847483.81238013
58,0.384708138295014,1.2736906947644975,5800.0,-3379303.7188555216,4213151.058934286,5826555.0190973,-3379303.7188555216,4213151.058934286,5826555.0190973
59,0.4081964603961128,1.348395226851137,5900.0,-3938401.282647202,3799629.4347289386,5759412.45388113,-3938401.282647202,3799629.4347289386,5759412.45388113
60,0.42773193265320847,1.4317405267490202,6000.0,-4466261.170778773,3355970.6225859565,5646588.572936676,-4466261.170778773,3355970.6225859565,5646588.572936676
61,0.44177421486110496,1.525867570471782,6100.0,-4958674.73075198,2885678.424143538,5488951.81220161,-4958674.73075198,2885678.424143538,5488951.81220161
62,0.44796623136348435,1.6335392605277204,6200.0,-5411687.213363252,2392458.429336136,5287701.828486141,-5411687.213363252,2392458.429336136,5287701.828486141
63,0.4426282586435006,1.7582593895328609,6300.0,-5821622.947302129,1880196.4820598648,5044363.770115256,-5821622.947302129,1880196.4820598648,5044363.770115256
64,0.4199732907777777,1.9042617867953613,6400.0,-6185110.558829063,1352935.5343811205,4760781.076933009,-6185110.558829063,1352935.5343811205,4760781.076933009
65,0.3711123899496124,2.07609872513442,6500.0,-6499107.341018636,814851.4870341863,4439106.857235669,-6499107.341018636,814851.4870341863,4439106.857235669
66,0.28370074102973425,2.277337478256367,6600.0,-6760922.821948998,270227.8491750285,4081793.7145299907,-6760922.821948998,270227.8491750285,4081793.7145299907
67,0.14542299356461952,2.5079248941249253,6700.0,-6968241.432329932,-276570.8597163409,3691581.896141543,-6968241.432329932,-276570.8597163409,3691581.896141543
68,-0.04338005549449517,2.7609985775073227,6800.0,-7119144.129220898,-821127.031834723,3271485.6211235127,-7119144.129220898,-821127.031834723,3271485.6211235127
69,-0.25484668880097855,3.0223692434371645,6900.0,-7212128.786039603,-1358999.2647807258,2824777.435511852,-7212128.786039603,-1358999.2647807258,2824777.435511852
70,-0.44673415086296303,3.2755183686507525,7000.0,-7246129.111051534,-1885753.0490632667,2354970.439715553,-7246129.111051534,-1885753.0490632667,2354970.439715553
71,-0.5960776408927562,3.5087395743029846,7100.0,-7220531.80826774,-2396992.837745388,1865798.2367429172,-7220531.80826774,-2396992.837745388,1865798.2367429172
72,-0.7044833016389459,3.7180124984814933,7200.0,-7135191.647754175,-2888395.4449255997,1361192.4620745648,-7135191.647754175,-2888395.4449255997,1361192.4620745648
73,-0.7824530881533458,3.9049609493247384,7300.0,-6990444.079574408,-3355744.641745845,845257.8098403959,-6990444.079574408,-3355744.641745845,845257.8098403959
74,-0.8395460648067608,4.073609335119373,7400.0,-6787114.903907176,-3794966.981904277,322244.2494045199,-6787114.903907176,-3794966.981904277,322244.2494045199
75,-0.8822831900936602,4.228239920563642,7500.0,-6526526.754854467,-4202168.084296472,-203482.98791480938,-6526526.754854467,-4202168.084296472,-203482.98791480938
76,-0.9147117526908638,4.3724703422172615,7600.0,-6210501.628645996,-4573669.932075115,-727476.6071713982,-6210501.628645996,-4573669.932075115,-727476.6071713982
77,-0.9392710207332018,4.5090177831359,7700.0,-5841359.238569613,-4906048.062646385,-1245242.7115303602,-5841359.238569613,-4906048.062646385,-1245242.7115303602
78,-0.9574286432842787,4.6397460779903845,7800.0,-5421910.62919469,-5196168.574882013,-1752278.7804937754,-5421910.62919469,-5196168.574882013,-1752278.7804937754
79,-0.9700831550333137,4.765802378153067,7900.0,-4955446.687174999,-5441224.345312649,-2244113.805410466,-4955446.687174999,-5441224.345312649,-2244113.805410466
80,-0.9778089122037398,4.887771565587989,8000.0,-4445720.918478726,-5638770.001496749,-2716350.519843108,-4445720.918478726,-5638770.001496749,-2716350.519843108
81,-0.9810042177147595,5.0058267120457325,8100.0,-3896926.6720637963,-5786754.739988442,-3164708.775494961,-3896926.6720637963,-5786754.739988442,-3164708.775494961
82,-0.979980210365051,5.119869152360568,8200.0,-3313668.068586298,-5883552.615956461,-3585070.1375286416,-3313668.068586298,-5883552.615956461,-3585070.1375286416
83,-0.9750123943724617,5.229653110541362,8300.0,-2700924.8726577223,-5927989.397953841,-3973522.7224746873,-2700924.8726577223,-5927989.397953841,-3973522.7224746873
84,-0.9663679217298746,5.334889011071476,8400.0,-2064011.2407927844,-5919365.341526503,-4326405.717102135,-2064011.2407927844,-5919365.341526503,-4326405.717102135
85,-0.9543171514474218,5.435320425841903,8500.0,-1408528.565972853,-5857473.176148066,-4640352.798026119,-1408528.565972853,-5857473.176148066,-4640352.798026119
86,-0.9391355291984057,5.530772776925636,8600.0,-740312.7933354774,-5742610.65725456,-4912333.637990736,-740312.7933354774,-5742610.65725456,-4912333.637990736
87,-0.9211002217692121,5.6211759722280465,8700.0,-65376.75795330107,-5575587.11134978,-5139692.655529485,-65376.75795330107,-5575587.11134978,-5139692.655529485
88,-0.9004846470393382,5.706566382355151,8800.0,610151.7294345596,-5357723.507157836,-5320184.16309743,610151.7294345596,-5357723.507157836,-5320184.16309743
89,-0.8775529171534052,5.787075016564347,8900.0,1280095.158081721,-5090845.717651478,-5452003.097813244,1280095.158081721,-5090845.717651478,-5452003.097813244
90,-0.8525552894098918,5.8629084549663695,9000.0,1938293.9178186753,-4777270.792685535,-5533810.5801504655,1938293.9178186753,-4777270.792685535,-5533810.5801504655
91,-0.8257250435421053,5.934327686909553,9100.0,2578675.0698660384,-4419786.2343514515,-5564753.638980406,2578675.0698660384,-4419786.2343514515,-5564753.638980406
92,-0.7972767722910469,6.00162825140954,9200.0,3195321.1600357518,-4021622.3738920875,-5544478.555674212,3195321.1600357518,-4021622.3738920875,-5544478.555674212
93,-0.7674059010064231,6.065123376558844,9300.0,3782536.914239916,-3586418.830810875,-5473137.513796501,3782536.914239916,-3586418.830810875,-5473137.513796501
94,-0.7362889800021254,6.125131071174851,9400.0,4334915.627283814,-3118183.3769189445,-5351388.023258521,4334915.627283814,-3118183.3769189445,-5351388.023258521
95,-0.70408476756334,6.181964387939213,9500.0,4847397.833224241,-2621248.4232941493,-5180385.763983339,4847397.833224241,-2621248.4232941493,-5180385.763983339
96,-0.6709354646381865,6.235925213407789,9600.0,5315328.86962763,-2100220.2178923804,-4961770.034925703,5315328.86962763,-2100220.2178923804,-4961770.034925703
97,-0.6369682376737582,0.004114993464634164,9700.0,5734508.132355357,-1559926.3921273607,-4697642.961825951,5734508.132355357,-1559926.3921273607,-4697642.961825951
98,-0.6022967399323882,0.05317397227490838,9800.0,6101232.301196475,-1005360.4937814553,-4390542.490619654,6101232.301196475,-1005360.4937814553,-4390542.490619654
99,-0.5670225972287766,0.10016871890427713,9900.0,6412331.013122879,-441625.260963093,-4043409.9325998873,6412331.013122879,-441625.260963093,-4043409.9325998873
100,-0.5312368058097985,0.1453336773628412,10000.0,6665194.67104859,126124.39302480267,-3659552.7849636343,6665194.67104859,126124.39302480267,-3659552.7849636343
101,-0.4950210205871145,0.18888681256537931,10100.0,6857794.179928111,692737.664767907,-3242603.65502448,6857794.179928111,692737.664767907,-3242603.65502448
102,-0.4584487283193395,0.23103096239507168,10200.0,6988692.612537974,1253122.4686175282,-2796476.1688223025,6988692.612537974,1253122.4686175282,-2796476.1688223025
103,-0.42158631072025177,0.2719554262587247,10300.0,7057049.003796048,1802297.5197188468,-2325318.7638121317,7057049.003796048,1802297.5197188468,-2325318.7638121317
104,-0.38449400868422556,0.3118376823725691,10400.0,7062614.647314202,2335441.1650628494,-1833467.2524891384,7062614.647314202,2335441.1650628494,-1833467.2524891384
105,-0.34722680232533787,0.3508451672943648,10500.0,7005722.415256685,2847936.369833828,-1325397.0025287522,7005722.415256685,2847936.369833828,-1325397.0025287522
106,-0.30983522341923736,0.3891370819587605,10600.0,6887269.73876321,3335411.407446065,-805675.513828363,6887269.73876321,3335411.407446065,-805675.513828363
107,-0.2723661192804056,0.4268662100592432,10700.0,6708695.97704437,3793775.926809926,-278916.10811981955,6708695.97704437,3793775.926809926,-278916.10811981955
108,-0.23486337742324168,0.46418076272626996,10800.0,6471954.895678772,4219252.33064989,250266.79913505138,6471954.895678772,4219252.33064989,250266.79913505138
109,-0.19736865750308377,0.5012262415793496,10900.0,6179483.191363872,4608402.096857214,777299.9718059463,6179483.191363872,4608402.096857214,777299.9718059463
110,-0.15992210982124294,0.5381473938203453,11000.0,5834165.619364349,4958147.606610597,1297691.3793384617,5834165.619364349,4958147.606610597,1297691.3793384617
111,-0.12256314387094747,0.5750902639727579,11100.0,5439297.67708985,5265789.164925611,1807067.1440916974,5439297.67708985,5265789.164925611,1807067.1440916974
112,-0.08533125739352153,0.6122044182717614,11200.0,4998546.458318149,5529017.676057489,2301205.4909149413,4998546.458318149,5529017.676057489,2301205.4909149413
113,-0.04826697235726506,0.6496454048727773,11300.0,4515910.410920772,5745923.178657157,2776067.4739518533,4515910.410920772,5745923.178657157,2776067.4739518533
114,-0.01141289590409412,0.6875775733128182,11400.0,3995678.1740573146,5914999.731682352,3227824.836843541,3995678.1740573146,5914999.731682352,3227824.836843541
115,0.025184967626400316,0.7261773112119186,11500.0,3442387.787748737,6035146.616959407,3652884.242072642,3442387.787748737,6035146.616959407,3652884.242072642
116,0.06147563779599912,0.7656369279082076,11600.0,2860785.7799607483,6105666.65723101,4047908.891543141,2860785.7799607483,6105666.65723101,4047908.891543141
117,0.09740114421791375,0.8061693480877402,11700.0,2255787.0387754664,6126261.70567327,4409837.076119548,2255787.0387754664,6126261.70567327,4409837.076119548
118,0.13289391966584738,0.8480139123282902,11800.0,1632435.5192329655,6097025.745768286,4735898.0335216895,1632435.5192329655,6097025.745768286,4735898.0335216895
119,0.1678733436977896,0.8914436626942391,11900.0,995865.9978439738,6018435.897639456,5023625.268808852,995865.9978439738,6018435.897639456,5023625.268808852
